label;29.12.2018;30.12.2018;31.12.2018;01.01.2019;02.01.2019;03.01.2019;04.01.2019;05.01.2019;06.01.2019;07.01.2019;08.01.2019;09.01.2019;10.01.2019;11.01.2019;12.01.2019;13.01.2019;14.01.2019;15.01.2019;16.01.2019;17.01.2019;18.01.2019;19.01.2019;20.01.2019;21.01.2019;22.01.2019;23.01.2019;24.01.2019;25.01.2019;26.01.2019;27.01.2019;28.01.2019;29.01.2019;КОЛ-ВО;СУММА
noname;;;;;;;;;;;;300;220;225;;;509;213;151;128;91;;;122;89;79;106;68;;;116;111;15;2528
#LOGON ФС досье кредитный ошибка;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;1;4
#НОМЕР_ПАСПОРТА 1999г ошибиться период технологический;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;1;90
АС выдать статус договор кредит;;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;;;;;2;8
АС проблема доступ ГОСБ кредит;2;;;;;;;;;;;;;;;;;;10;;5;;;;7;;;;;;;;3;22
АС проблема доступ заходить видеть;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;1
АС проблема решение ошибка кредит;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72;;;;1;72
АС проблема статус доступ кредит;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;1;3
ЕКП выгрузить выгрузка перевод ошибка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;1;6
ЕКП выгрузка ошибка транзакт офис;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
ЕКП выгрузка статус транзакт ошибка;;;;;;;;;;;;;;;;;;;;;9;;;;12;;;;;;11;;3;32
ЕКП отчёт оценка статус ошибка;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;1;12
ЕКП ошибка транзакт перевод статус;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;1;14
ЕКП перевод ошибка выгрузка транзакт;;;;;;;;;;;;;;;;;;;;;;;;;;;7;5;;;;;2;12
ЕКП статус ошибка транзакт возврат;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;16;2;43
ЕКП транзакт кредит статус ошибка;13;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
КБП 1999г ошибиться привязать технологический;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;1;6
КБП Мир заполнять арх чтение;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;1;5
КБП заходил строитель паспора первичного;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;1;11
КБП коминтерн оренбургский д2 девушка;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;1;18
КБП контрагент формирование 27а заблокироваться;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;1;6
КБП ободрение присвоиться возмутить девушка;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;1;2
КБП перезагрузить удмуртский кузнецкий влияние;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2
КБП пока обходного коды спасти;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;1;9
КБП предыдущей подтягиваться ханты-мансийского формировать;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;3
КБП пришлый затем дожидаться логинписать;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
КБП распределенный контактный 834 терять;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;1;7
КБП свобода вход равный первичного;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;1;6
КБП смениться выяснить стр приостоновить;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;1;18
КБП составление собираться увести кидать;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;1;36
КБП щербинка октябрь предъявленного timeout`;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
